"product_id";"product_name";"cost_price";"manufacturer";"mrp"
"59854";"milk";"17";"Amul";"19"
"53028";"curd";"31";"Amul";"34"
"56145";"butter";"25";"Amul";"28"
"81010";"cow milk";"15";"Nandini";"17"
"99016";"yougurt";"25";"Nandini";"30"
"15292";"paneer";"55";"Milky Mist";"60"
"45124";"cheese";"85";"Amul";"90"
"14270";"ghee";"440";"Nandini";"450"
"86934";"ice cream family pack";"180";"Quality Walls";"200"
"98390";"ice cream cone";"35";"Cornetto";"40"
"80811";"Bread";"45";"Britania";"55"
"83067";"Curd";"32";"Milky Mist";"37"
"90295";"Chocolate";"60";"Cadbury";"80"
